site_id,published_item_id
xr_humerus_paed,xrhum_p2_1_p
xr_humerus_paed,xrhum_p2_2_p
xr_humerus_paed,xrhum_p2_3_p
xr_humerus_paed,xrhum_p3_1_p
xr_humerus_paed,xrhum_p3_2_p
xr_elbow_paed,xrel_em_1_p
xr_elbow_paed,xrel_p3_2_p
xr_forearm_paed,xrfa_em_1_p
xr_forearm_paed,xrfa_p2_1_p
xr_forearm_paed,xrfa_p2_2_p
xr_forearm_paed,xrfa_p2_3_p
xr_forearm_paed,xrfa_p3_1_p
xr_forearm_paed,xrfa_p3_2_p
xr_wrist_hand_paed,xrwh_p3_2_p
xr_wrist_hand_paed,xrwh_p3_3_p
xr_femur_paed,xrfem_em_1_p
xr_femur_paed,xrfem_p2_1_p
xr_femur_paed,xrfem_p2_2_p
xr_femur_paed,xrfem_p2_3_p
xr_femur_paed,xrfem_p3_1_p
xr_knee_paed,xrkn_p3_5_p
xr_tibia_fibula_paed,xrtf_em_1_p
xr_tibia_fibula_paed,xrtf_p2_1_p
xr_tibia_fibula_paed,xrtf_p2_2_p
xr_tibia_fibula_paed,xrtf_p2_3_p
xr_tibia_fibula_paed,xrtf_p3_1_p
xr_feet_paed,xrft_em_1_p
xr_feet_paed,xrft_p3_2_p
xr_feet_paed,xrft_p3_3_p
xr_feet_paed,xrft_p3_4_p
xr_pelvis_hip_paed,xrph_em_2_p
xr_pelvis_hip_paed,xrph_24_1_p
xr_pelvis_hip_paed,xrph_p2_1_p
xr_pelvis_hip_paed,xrph_p2_2_p
xr_pelvis_hip_paed,xrph_p2_3_p
xr_pelvis_hip_paed,xrph_p2_4_p
xr_pelvis_hip_paed,xrph_p2_5_p
xr_pelvis_hip_paed,xrph_p3_1_p
xr_pelvis_hip_paed,xrph_p3_2_p
xr_pelvis_hip_paed,xrph_p3_3_p
xr_spine_paed,xrsp_p2_1_p
xr_spine_paed,xrsp_p3_1_p
